,epochs,values,validation,accuracy
0,0,1.0826006408210274,1,0
1,1,1.5924307999310192,1,0
2,2,0.655318710288486,1,0
3,3,0.6015486607680449,1,0
4,4,0.8934213500839095,1,0
5,5,1.6425998215202813,1,0
6,6,0.6791456450213184,1,0
7,7,1.009496641373849,1,0
8,8,0.5704678070437801,1,0
9,9,0.600675257691392,1,0
10,10,0.7514586942689913,1,0
11,11,0.7386616699330442,1,0
12,12,0.7695427833376705,1,0
13,13,1.5487917272894232,1,0
14,14,0.9332597925856306,1,0
15,15,0.6759611079284736,1,0
16,16,1.1386247198860924,1,0
17,17,0.8377714087297251,1,0
18,18,0.8955541076960865,1,0
19,19,0.6832408108152784,1,0
20,0,0.47454954954954953,1,1
21,1,0.42725225209115864,1,1
22,2,0.6011261266631049,1,1
23,3,0.668243243350639,1,1
24,4,0.5959459455163629,1,1
25,5,0.5691441439830505,1,1
26,6,0.6090090084720302,1,1
27,7,0.6015765763617851,1,1
28,8,0.7011261260187304,1,1
29,9,0.6952702705924575,1,1
30,10,0.6389639645009427,1,1
31,11,0.6533783787005657,1,1
32,12,0.6520270273492142,1,1
33,13,0.5824324324324325,1,1
34,14,0.5936936938010895,1,1
35,15,0.6970720723942594,1,1
36,16,0.579504504719296,1,1
37,17,0.6617117119265032,1,1
38,18,0.6569819825189608,1,1
39,19,0.7040540537318668,1,1
40,0,0.7455617475875118,0,0
41,1,0.6688744014614438,0,0
42,2,0.6167736653812949,0,0
43,3,0.5931614117110711,0,0
44,4,0.575833661046729,0,0
45,5,0.5616802696820526,0,0
46,6,0.5488237140413015,0,0
47,7,0.5355168812117994,0,0
48,8,0.5170213419967562,0,0
49,9,0.49708829318971864,0,0
50,10,0.4801456125820941,0,0
51,11,0.47446666355601724,0,0
52,12,0.4466581404531615,0,0
53,13,0.41671018792875614,0,0
54,14,0.4012300545186799,0,0
55,15,0.38186641544023003,0,0
56,16,0.3575989570136109,0,0
57,17,0.34281076478786143,0,0
58,18,0.32370267925335544,0,0
59,19,0.30330329147193535,0,0
60,0,0.5653742110009017,0,1
61,1,0.5968214606679808,0,1
62,2,0.6584197476277811,0,1
63,3,0.6799481515415732,0,1
64,4,0.6938683499184893,0,1
65,5,0.7053651939758424,0,1
66,6,0.7160166815877284,0,1
67,7,0.7293169521554512,0,1
68,8,0.7413773670510412,0,1
69,9,0.7551284940851175,0,1
70,10,0.7692177638048734,0,1
71,11,0.7704576193695137,0,1
72,12,0.7888863842373393,0,1
73,13,0.8086113616407616,0,1
74,14,0.8162195672313838,0,1
75,15,0.830083408368612,0,1
76,16,0.8423692516854908,0,1
77,17,0.8527953111985657,0,1
78,18,0.8575856628667352,0,1
79,19,0.8678990080079267,0,1
